SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes,Available_Stock,Days_to_Expiry,Low_Stock_Flag
SKU0001,Pantry Product 13,Pantry,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH2679,2025-07-14,2025-06-01,2027-04-25,57,359,100,36,0,0,"28,57",971.0,"12,57",51.0,22,1,"$5,81","$5,71","$2.084,25","2,39","5,00",70.68,FIFO,In Stock,0,2025-06-26,-7.14,95.67,,223,280,False
SKU0002,Fresh Product 112,Fresh Produce,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH4257,2025-04-08,2025-02-22,2025-04-11,154,314,64,0,0,1,"34,99",796.0,"8,97",744.0,254,14,"$1,45","$1,33","$456,71","3,34","12,00",84.61,FEFO,Low Stock,4,2025-08-12,2.15,86.0,,250,-464,True
SKU0003,Meat Product 446,Meat,B,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH6574,2025-03-15,2025-02-26,2025-04-02,178,485,28,62,3,1,"36,55",1.377,"13,27",225.0,79,4,"$1,86","$1,69","$902,63","2,26","11,00",85.36,FIFO,Expiring Soon,-5,2025-08-13,6.85,87.64,,395,-473,False
SKU0004,Seafood Product 48,Seafood,A,S007,PT Bakerindo,WHJKT,Jakarta - Cengkareng,BATCH5333,2025-06-10,2025-04-20,2025-06-18,91,281,92,49,0,0,"25,49",716.0,"11,02",162.0,60,4,"$14,50","$14,12","$4.073,15","2,72","10,00",72.81,FIFO,Expiring Soon,0,2025-07-13,-6.69,71.15,,140,-396,True
SKU0005,Personal Product 194,Personal Care,A,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH6925,2025-06-26,2025-05-21,2030-01-03,75,235,63,33,0,2,"17,05",518.0,"13,78",80.0,29,3,"$9,46","$10,31","$2.222,91","2,18","2,00",70.93,FIFO,In Stock,-5,2025-06-11,1.23,76.25,High return rate,139,1264,False
SKU0006,Beverages Product 41,Beverages,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH8428,2025-06-04,2025-04-25,2027-12-25,97,446,66,31,1,1,"32,81",1.058,"13,59",349.0,119,7,"$5,16","$5,86","$2.303,14","2,21","7,00",76.44,FEFO,In Stock,-4,2025-08-20,1.98,71.23,,349,524,False
SKU0007,Dairy Product 137,Dairy,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH9751,2025-03-31,2025-02-13,2025-04-12,162,368,87,118,0,0,"53,35",1.521,"6,90",169.0,62,2,"$2,13","$2,36","$784,87","4,35","13,00",97.82,FIFO,Expiring Soon,0,2025-08-20,7.21,68.44,,163,-463,True
SKU0008,Meat Product 474,Meat,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH1916,2025-03-18,2025-03-04,2025-04-02,175,135,73,32,0,1,"21,71",469.0,"6,22",66.0,23,2,"$4,89","$5,62","$660,64","4,82","9,00",93.69,FIFO,Expiring Soon,-5,2025-07-31,-4.66,73.11,,30,-473,True
SKU0009,Fresh Product 468,Fresh Produce,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH9179,2025-07-17,2025-06-22,2025-07-30,54,1,126,83,0,0,"78,76",1.975,"14,87",357.0,121,3,"$1,33","$1,40","$1.562,93","2,02","22,00",81.41,FEFO,Expiring Soon,1,2025-08-22,3.55,84.52,,-208,-354,True
SKU0010,Meat Product 288,Meat,C,S009,PT Beverage Nusantara,WHSBY,Surabaya - Sidoarjo,BATCH7543,2025-04-13,2025-03-21,2025-05-01,149,49,12,16,2,0,"7,23",176.0,"6,78",85.0,34,7,"$11,34","$11,67","$555,45","4,43","9,00",87.13,FIFO,Low Stock,-3,2025-08-23,-4.78,70.6,,21,-444,True
